Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /posts,50,41,33,80,80,84,28,84,0.000%,2.47255,69.40,0.33
TOTAL,50,41,33,80,80,84,28,84,0.000%,2.47255,69.40,0.33
